NOMOR,TAHUN,BULAN,TERMINAL,NAMA DERMAGA,NAMA KAPAL,NAMA AGENT,KOMODITI,KEGIATAN,STATUS PBM BEFORE,PBM-TOF,KEMASAN,NAMA TERTAGIH,NAMA PBM,NAMA JASA, PRODUKSI , TARIF BEFORE TOF , TAGIHAN BEFORE TOF , TARIF AFTER TOF , TAGIHAN AFTER TOF ,SATUAN
,2025,JUN,TERMINAL JAMRUD,JAMRUD SELATAN,INTAN DAYA 288,"QUANTA INTI MANDIRI, PT",STEEL SHEET(LOSE) BARBED WIRE IN COILS,BONGKAR,NONPELINDO,NONPELINDO,RAWMATERIAL,"WANGSA PRATAMA INTERNASIONAL, PT","WANGSA PRATAMA INTERNASIONAL, PT",DERMAGA, 196 ," 5,100 "," 999,600 "," 5,100 "," 999,600 ",TON
,2025,JUN,TERMINAL JAMRUD,JAMRUD SELATAN,INTAN DAYA 288,"QUANTA INTI MANDIRI, PT",STEEL SHEET(LOSE) BARBED WIRE IN COILS,BONGKAR,NONPELINDO,NONPELINDO,RAWMATERIAL,"WANGSA PRATAMA INTERNASIONAL, PT","WANGSA PRATAMA INTERNASIONAL, PT",DERMAGA," 6,595 "," 5,100 "," 33,636,183 "," 5,100 "," 33,636,183 ",TON
,2025,JUN,TERMINAL JAMRUD,JAMRUD SELATAN,INTAN DAYA 288,"QUANTA INTI MANDIRI, PT",STEEL INGOTS,BONGKAR,NONPELINDO,NONPELINDO,RAWMATERIAL,"WANGSA PRATAMA INTERNASIONAL, PT","WANGSA PRATAMA INTERNASIONAL, PT",DERMAGA," 1,040 "," 3,825 "," 3,978,956 "," 3,825 "," 3,978,956 ",TON
,2025,JUN,TERMINAL JAMRUD,JAMRUD SELATAN,INDO SUKSES 20,"PULAU WEH, PT",PULP,BONGKAR,NONPELINDO,NONPELINDO,GENCARGO,"WANGSA PRATAMA INTERNASIONAL, PT","WANGSA PRATAMA INTERNASIONAL, PT",DERMAGA," 8,187 "," 2,550 "," 20,877,941 "," 2,550 "," 20,877,941 ",TON
,2025,JUN,TERMINAL JAMRUD,JAMRUD UTARA,MV. GLORY CHALLENGER,"PELAYARAN BAHTERA ADHIGUNA (PERSERO), PT",STEEL SHEET(LOSE) BARBED WIRE IN COILS,IMPORT,NONPELINDO,NONPELINDO,RAWMATERIAL,"WANGSA PRATAMA INTERNASIONAL, PT","WANGSA PRATAMA INTERNASIONAL, PT",JASA DERMAGA," 4,420 "," 5,100 "," 22,543,204 "," 5,100 "," 22,543,204 ",TON
,2025,JUN,TERMINAL JAMRUD,JAMRUD UTARA,MV. AM OCEAN STAR,LAUTAN LUAS MARITIM,STEEL BILLETS,IMPORT,NONPELINDO,NONPELINDO,RAWMATERIAL,"WANGSA PRATAMA INTERNASIONAL, PT","WANGSA PRATAMA INTERNASIONAL, PT",JASA DERMAGA," 10,029 "," 3,825 "," 38,362,302 "," 3,825 "," 38,362,302 ",TON
,2025,JUN,TERMINAL JAMRUD,JAMRUD UTARA,MV. DL LAVENDER,"DALIAN PUTRA MARITIM, PT",STEEL BILLETS,IMPORT,NONPELINDO,NONPELINDO,RAWMATERIAL,"WANGSA PRATAMA INTERNASIONAL, PT","WANGSA PRATAMA INTERNASIONAL, PT",JASA DERMAGA," 30,049 "," 3,825 "," 114,937,792 "," 3,825 "," 114,937,792 ",TON
,2025,JUN,TERMINAL JAMRUD,JAMRUD BARAT,MV. TAN BINH 257,"CAHAYA BERKAH MARITIM, PT",STEEL BILLETS,IMPORT,NONPELINDO,NONPELINDO,RAWMATERIAL,"WANGSA PRATAMA INTERNASIONAL, PT","WANGSA PRATAMA INTERNASIONAL, PT",JASA DERMAGA," 9,871 "," 3,825 "," 37,756,499 "," 3,825 "," 37,756,499 ",TON
,2025,JUN,TERMINAL JAMRUD,JAMRUD UTARA,MV. AM OCEAN STAR,LAUTAN LUAS MARITIM,STEEL BILLETS,IMPORT,NONPELINDO,NONPELINDO,RAWMATERIAL,"WANGSA PRATAMA INTERNASIONAL, PT","WANGSA PRATAMA INTERNASIONAL, PT",JASA STEVED," 10,029 "," 3,452 "," 34,618,008 "," 15,925 "," 159,717,558 ",TON
,2025,JUN,TERMINAL JAMRUD,JAMRUD UTARA,MV. GLORY CHALLENGER,"PELAYARAN BAHTERA ADHIGUNA (PERSERO), PT",STEEL SHEET(LOSE) BARBED WIRE IN COILS,IMPORT,NONPELINDO,NONPELINDO,RAWMATERIAL,"WANGSA PRATAMA INTERNASIONAL, PT","WANGSA PRATAMA INTERNASIONAL, PT",JASA STEVED," 4,420 "," 3,452 "," 15,257,181 "," 14,150 "," 62,546,339 ",TON
,2025,JUN,TERMINAL JAMRUD,JAMRUD UTARA,MV. DL LAVENDER,"DALIAN PUTRA MARITIM, PT",STEEL BILLETS,IMPORT,NONPELINDO,NONPELINDO,RAWMATERIAL,"WANGSA PRATAMA INTERNASIONAL, PT","WANGSA PRATAMA INTERNASIONAL, PT",JASA STEVED," 30,049 "," 3,452 "," 103,719,463 "," 15,925 "," 478,531,854 ",TON
,2025,JUN,TERMINAL JAMRUD,JAMRUD BARAT,MV. TAN BINH 257,"CAHAYA BERKAH MARITIM, PT",STEEL BILLETS,IMPORT,NONPELINDO,NONPELINDO,RAWMATERIAL,"WANGSA PRATAMA INTERNASIONAL, PT","WANGSA PRATAMA INTERNASIONAL, PT",JASA STEVED," 9,871 "," 3,452 "," 34,071,333 "," 15,925 "," 157,195,357 ",TON
,2025,JUN,TERMINAL JAMRUD,JAMRUD SELATAN,INTAN DAYA 288,"QUANTA INTI MANDIRI, PT",STEEL SHEET(LOSE) BARBED WIRE IN COILS,BONGKAR,NONPELINDO,NONPELINDO,RAWMATERIAL,"WANGSA PRATAMA INTERNASIONAL, PT","WANGSA PRATAMA INTERNASIONAL, PT",KERJASAMA FASILITAS," 6,791 "," 3,452 "," 23,441,418 "," 4,150 "," 28,184,032 ",TON
,2025,JUN,TERMINAL JAMRUD,JAMRUD SELATAN,INTAN DAYA 288,"QUANTA INTI MANDIRI, PT",STEEL INGOTS,BONGKAR,NONPELINDO,NONPELINDO,RAWMATERIAL,"WANGSA PRATAMA INTERNASIONAL, PT","WANGSA PRATAMA INTERNASIONAL, PT",KERJASAMA FASILITAS," 1,040 "," 3,452 "," 3,590,607 "," 4,150 "," 4,317,050 ",TON
,2025,JUN,TERMINAL JAMRUD,JAMRUD SELATAN,INDO SUKSES 20,"PULAU WEH, PT",PULP,BONGKAR,NONPELINDO,NONPELINDO,GENCARGO,"WANGSA PRATAMA INTERNASIONAL, PT","WANGSA PRATAMA INTERNASIONAL, PT",KERJASAMA FASILITAS," 8,187 "," 10,413 "," 85,255,688 "," 8,330 "," 68,201,275 ",TON
,2025,JUN,TERMINAL JAMRUD,JAMRUD UTARA,MV. GLORY CHALLENGER,"PELAYARAN BAHTERA ADHIGUNA (PERSERO), PT",STEEL SHEET(LOSE) BARBED WIRE IN COILS,IMPORT,NONPELINDO,NONPELINDO,RAWMATERIAL,"WANGSA PRATAMA INTERNASIONAL, PT","WANGSA PRATAMA INTERNASIONAL, PT",PENUMPUKAN MASA I," 4,420 ", -   , -   ," 2,000 "," 8,840,472 ",TON
,2025,JUN,TERMINAL JAMRUD,JAMRUD UTARA,MV. AM OCEAN STAR,LAUTAN LUAS MARITIM,STEEL BILLETS,IMPORT,NONPELINDO,NONPELINDO,RAWMATERIAL,"WANGSA PRATAMA INTERNASIONAL, PT","WANGSA PRATAMA INTERNASIONAL, PT",PENUMPUKAN MASA I," 10,029 ", -   , -   ," 1,500 "," 15,044,040 ",TON
,2025,JUN,TERMINAL JAMRUD,JAMRUD UTARA,MV. DL LAVENDER,"DALIAN PUTRA MARITIM, PT",STEEL BILLETS,IMPORT,NONPELINDO,NONPELINDO,RAWMATERIAL,"WANGSA PRATAMA INTERNASIONAL, PT","WANGSA PRATAMA INTERNASIONAL, PT",PENUMPUKAN MASA I," 30,049 ", -   , -   ," 1,500 "," 45,073,644 ",TON
,2025,JUN,TERMINAL JAMRUD,JAMRUD BARAT,MV. TAN BINH 257,"CAHAYA BERKAH MARITIM, PT",STEEL BILLETS,IMPORT,NONPELINDO,NONPELINDO,RAWMATERIAL,"WANGSA PRATAMA INTERNASIONAL, PT","WANGSA PRATAMA INTERNASIONAL, PT",PENUMPUKAN MASA I," 9,871 ", -   , -   ," 1,500 "," 14,806,470 ",TON
,2025,JULY,TERMINAL JAMRUD,JAMRUD UTARA,MV.GLORY JUSTICE,"PELAYARAN BAHTERA ADHIGUNA (PERSERO), PT",STEEL SHEET(LOSE) BARBED WIRE IN COILS,IMPORT,NONPELINDO,NONPELINDO,RAWMATERIAL,"WANGSA PRATAMA INTERNASIONAL, PT","WANGSA PRATAMA INTERNASIONAL, PT",JASA DERMAGA," 4,887.41 "," 5,100.00 "," 24,925,791.00 "," 5,100.00 "," 24,925,791.00 ",TON
